id,title,overview,release_date,popularity,vote_average,vote_count
19404,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-20,17.1904,8.513,4593
936075,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",2026-04-22,382.8024,8.51,1916
497,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,27.2486,8.507,19313
122,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",2003-12-17,45.3962,8.499,26628
496243,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",2019-05-30,36.4975,8.494,20712
1181678,¿Quieres ser mi hijo?,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer.",2023-09-21,10.2466,8.5,354
680,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",1994-09-10,31.8224,8.483,30264
372058,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2016-08-26,28.1092,8.481,12606
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,70.5674,8.478,39986
429,"The Good, the Bad and the Ugly","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1966-12-23,25.403,8.5,9676
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-06-23,28.6543,8.465,29821
769,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990-09-12,27.6023,8.454,14400
346,Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",1954-04-26,12.7897,8.4,4244
12477,Grave of the Fireflies,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",1988-04-16,0.0119,8.444,6541
637,Life Is Beautiful,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,1997-12-20,14.0767,8.439,14013
550,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,33.4766,8.438,32130
14537,Harakiri,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",1962-09-15,8.2333,8.438,1218
120,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,36.188,8.434,27640
598,City of God,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",2002-08-30,11.1839,8.43,8201
11216,Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",1988-11-17,11.7544,8.428,4839
121,The Lord of the Rings: The Two Towers,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002-12-18,28.7286,8.42,23956
539,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",1960-06-22,15.1681,8.4,11006
510,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",1975-11-19,12.027,8.412,11476
40096,A Dog's Will,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",2000-09-15,5.1292,8.408,1223
255709,Hope,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",2013-10-02,11.6067,8.4,862
667257,Impossible Things,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",2021-06-17,4.5116,8.395,422
324857,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2018-12-06,23.3559,8.4,17280
1891,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1980-05-20,12.4043,8.4,18451
4935,Howl's Moving Castle,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",2004-09-09,23.2624,8.388,11109
378064,A Silent Voice: The Movie,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",2016-09-17,14.8592,8.4,4502
770156,Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,2020-10-19,8.486,8.384,363
696374,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",2020-05-29,4.6139,8.383,2470
807,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,27.0117,8.382,23137
311,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984-05-23,14.9581,8.4,6053
1218925,Chainsaw Man - The Movie: Reze Arc,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",2025-09-19,26.2908,8.4,911
244786,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2014-10-10,25.0535,8.375,16658
423,The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",2002-09-17,11.3324,8.4,10150
27205,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,32.9299,8.372,39344
12493,High and Low,A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.,1963-03-01,7.7832,8.4,1129
1439930,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",2026-05-12,193.0883,8.357,1562
724089,Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",2020-07-31,3.3739,8.349,1555
274,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",1991-02-14,4.6207,8.345,18022
761053,Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,2020-11-19,6.6516,8.34,1089
567,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,1954-08-01,8.6873,8.3,7176
569094,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,28.5496,8.3,8654
1058694,Radical,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",2023-10-19,4.5983,8.329,506
73,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1998-07-01,10.824,8.327,12599
105,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",1985-07-03,19.6975,8.3,21850
128,Princess Mononoke,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",1997-07-12,16.8239,8.321,9017
1184918,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-12,37.0869,8.314,6131
10494,Perfect Blue,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",1998-02-28,12.392,8.306,3207
3782,Ikiru,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",1952-10-09,7.154,8.302,1347
207,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",1989-06-02,15.4141,8.3,12629
533514,Violet Evergarden: The Movie,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",2020-09-18,6.8052,8.297,515
101,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994-09-14,15.7655,8.3,16144
644479,Dedicated to my ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",2019-11-01,3.636,8.3,513
42269,We All Loved Each Other So Much,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",1974-12-21,3.8043,8.3,651
1585,It's a Wonderful Life,"George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",1946-12-20,8.2453,8.282,4913
620249,The Legend of Hei,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",2019-08-27,10.0342,8.281,473
820067,The Quintessential Quintuplets Movie,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",2022-05-20,7.1128,8.28,444
372754,Dou kyu sei – Classmates,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",2016-02-20,5.0941,8.3,441
3082,Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time...",1936-02-05,7.1349,8.279,4088
914,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940-10-15,6.9633,8.3,3707
599,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1950-08-10,7.3854,8.3,2941
335,Once Upon a Time in the West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",1968-12-21,11.5016,8.273,4909
77338,The Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,2011-11-02,22.5182,8.271,18455
28,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",1979-05-19,12.8269,8.269,9114
1317149,I Swear,"Diagnosed with Tourette Syndrome at 15, John Davidson navigates his way against the odds through troubled teenage years and into adulthood, finding inspiration in the kindness of others to discover his true purpose in life.",2025-09-22,12.2621,8.265,342
652837,"Josee, the Tiger and the Fish","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",2020-12-25,6.4153,8.268,601
1139087,Once Upon a Studio,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",2023-09-24,4.9892,8.3,433
654299,Out of the Clear Blue Sky,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",2019-12-24,3.3842,8.263,384
92321,Hotarubi no Mori e,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",2011-09-17,0.0095,8.257,1218
18491,Neon Genesis Evangelion: The End of Evangelion,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",1997-07-19,10.2426,8.255,1859
975,Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,1957-10-25,6.0486,8.3,3278
8587,The Lion King,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",1994-06-15,27.6576,8.254,19717
92060,Michael Jackson's Thriller,"A night at the movies turns terrifying when Michael and his date are attacked by zombies. Released at the height of Thriller’s success, the short film redefined the music video, broke racial barriers, and became the first inducted into the U.S. National Film Registry.",1983-11-21,7.3098,8.3,768
15804,A Brighter Summer Day,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",1991-07-27,6.7667,8.253,391
901,City Lights,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,1931-02-06,5.8976,8.252,2459
637920,Miracle in Cell No. 7,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",2019-10-10,8.1641,8.251,4566
29259,Le Trou,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured.",1960-03-18,5.5827,8.251,575
603,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",1999-03-31,53.8159,8.247,27996
1356039,Counterattack,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",2025-02-27,8.234,8.243,821
630566,Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2020-10-09,1.9396,8.243,1054
10376,The Legend of 1900,"Musician Max Tooney goes to sell his prized Conn trumpet to a music shop, where he plays the instrument one last time. The shopkeeper recognises the song as one on a record matrix he found and asks who the piece is by. Tooney tells the story of an infant found abandoned in the first class dining room of the four-stacker ocean-liner SS Virginian on 1 January 1900. Danny Boodman, a coal-man from the boiler room, names the boy Danny Boodman T. D. Lemon 1900, after himself, the fruit crate the boy was found in, and the year, and raises him as his own.",1998-10-28,5.981,8.242,2450
670,Oldboy,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",2003-11-21,12.1773,8.238,9884
299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25,49.9642,8.237,32087
299534,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",2019-04-24,32.3524,8.237,27819
632632,Given,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",2020-08-22,3.6476,8.227,420
504253,I Want to Eat Your Pancreas,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",2018-09-01,7.2763,8.227,1784
857,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",1998-07-24,16.8832,8.2,17278
98,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",2000-05-04,19.7767,8.227,20940
572154,Rascal Does Not Dream of a Dreaming Girl,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",2019-06-15,2.6547,8.225,602
490132,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",2018-11-16,11.8938,8.225,12896
508965,Klaus,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",2019-11-08,4.564,8.223,4680
447362,Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",2020-11-27,4.0257,8.223,1983
995133,"The Boy, the Mole, the Fox and the Horse","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",2022-12-25,3.3801,8.221,726
24188,Il Sorpasso,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.",1962-12-05,1.6981,8.2,841
16869,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",2009-08-02,18.1561,8.218,24219
527641,Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",2019-03-14,6.0115,8.216,5922
110420,Wolf Children,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",2012-07-21,3.8094,8.216,2489
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",2020-10-16,10.4021,8.212,4532
25237,Come and See,"The invasion of a village in Belarus by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",1985-10-17,5.471,8.213,1850
